Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Budget & Costing Specialist (Production),PT Dwi Krafi Brands,Bekasi,"Rp5,750,000"
Finance Manager,Samara Lombok,Lombok,"Rp14,705,467"
Dibutuhkan Segera Pengajar Biologi/Kimia/Akuntasi/Ekonomi Brilliant Bimbel,Brilliant Bimbel,Tangerang,"Rp3,500,000"
Fullstack Developer (Project Based),PT Adi Data Informatika,Jakarta Raya,"Rp10,857,136"
MEDICAL REPRESENTATIVE â€“ ETHICAL,PT Surya Dermato Medica Labs,Jambi,"Rp5,014,675"
Kernel Dispatch Operator,Cargill Tropical Palm,Kendawangan,"Rp4,739,161"
Supervisor Marketplace,PT. Nabawi Herbal Indonesia,Depok,"Rp6,250,000"
Dispatcher Operational Truk (Penempatan: Sidoarjo),Pengiklan Anonim,Sidoarjo,"Rp5,204,141"
Process Engineer - Footwear Manufacturing,PT. PERSOLKELLY Recruitment Indonesia,Pasuruan,"Rp7,555,180"
Adjuster Elevator/Escalator,PT Fujitec Indonesia,Jakarta Barat,"Rp6,200,000"
Analytical Development Supervisor,PT Medikon Prima Laboratories,Cikupa,"Rp6,793,765"
SENIOR TRAVEL CONSULTANT,PT Fiwi Lestari Internasional (Avia Tour),Jakarta Pusat,"Rp6,668,749"
Staff Civil,PT Wampu Electric Power,Karo,"Rp3,900,000"
3D Design Manager,SKINTIFIC,Jakarta Raya,"Rp11,108,760"
Facilities Management Technician (East Jakarta),Rahi Systems Pte. Ltd.,Karawang,"Rp10,000,000"
Key Account Supervisor,PT Susanti Megah,Surabaya,"Rp6,377,973"
Staff Civil,PT Wampu Electric Power,Karo,"Rp3,900,000"
Staff Civil,PT Wampu Electric Power,Karo,"Rp3,900,000"
3D Design Manager,SKINTIFIC,Jakarta Raya,"Rp11,108,760"
Facilities Management Technician (East Jakarta),Rahi Systems Pte. Ltd.,Karawang,"Rp10,000,000"
Key Account Supervisor,PT Susanti Megah,Surabaya,"Rp6,377,973"
Desk Collection,PT Smartec Teknologi Indonesia,Jakarta Selatan,"Rp6,448,381"
Sales Manager,PT OS Selnajaya Indonesia,Jakarta Pusat,"Rp21,500,000"
Account Executive,PT Sumbermitra Agungjaya,Surabaya,"Rp7,500,000"
HNS Representative,Danone Indonesia,Manado,"Rp4,769,833"
Head of Division Legal Operation,Pengiklan Anonim,Kalimantan Timur,"Rp10,711,786"
Planogram / Space Management,PT Global Retailindo Pratama (Minimart ),Denpasar,"Rp4,382,532"
Sales Executive B2B,PT Haldin Pacific Semesta,Jawa Barat,"Rp5,589,673"
POS Processing Staff - Tangerang,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,"Rp5,257,350"
Affiliator Produk Fermentasi,CV Kausa Lestari,Palembang,"Rp2,950,000"
Marketing In House Property,Henley Multi Kreasi Indonesia,Bandung,"Rp9,500,000"
Administration Assistant (Kepala Tata Usaha) (Kalteng),"PT SMART,Tbk",Kalimantan Tengah,"Rp8,104,151"
Event Organizer Staff,PT Tambatan Hati,Bandung,"Rp4,927,656"
Field Sales Trainer Supervisor (Manado Based),SKINTIFIC,Manado,"Rp6,928,758"
Social Media Specialist,PT Diamulia Internusa,Tangerang Selatan,"Rp5,500,000"
DOKTER KECANTIKAN,Jakarta Derma Clinic,Jakarta Raya,"Rp12,500,162"
Field Account Consultant BCA Finance - Penempatan Karawang,PT BCA Finance,Karawang,"Rp6,159,609"
Staff Digital Display,PT Inti Citra Agung (Optik Melawai),Jakarta Raya,"Rp5,750,000"
Admin Accounting,PT Jawa Berkat Utama,Porong,"Rp3,250,000"
Internal Audit Staff,"PT Tera Data Indonusa, Tbk",Cakung,"Rp5,312,004"
Retail Planning Supervisor (Data Science),PT Korea Tomorrow & Global Indonesia,Jakarta Raya,"Rp6,400,958"
IT SUPERVISOR,Pengiklan Anonim,Jakarta Raya,"Rp8,386,519"
Estimator Sipil,Pengiklan Anonim,Jakarta Pusat,"Rp6,132,095"
Staff Akunting Pajak,KL CONSULTING,Surabaya,"Rp4,250,000"
Marketing Assistant Manager/Manager,Orico Balimor Finance,Jakarta Pusat,"Rp12,164,411"
Account Receivable â€“ Discovery Mall Bali,PT Bali Utama Cakrawala,Bali,"Rp5,699,130"
Security & Office Boy [MAKASSAR],Pengiklan Anonim,Makassar,"Rp4,007,187"
Finance Manager - Cilegon,PT Michael Page Internasional Indonesia,Cilegon,"Rp14,705,467"
Full Stack Developer (IT Opertional Engineer),PT Solusi Pembayaran Elektronik,Cipondoh,"Rp8,000,000"
Brand Marketing Manager,PT. Kilap Global Group,Malang,"Rp5,250,000"
Brand Marketing Manager,PT. Kilap Global Group,Malang,"Rp5,764,089"
RETAIL TRAINER,PT Kinza Cita Sinergi,Tangerang Selatan,"Rp5,548,897"
Primary Process Technician,PT Tri Sakti Purwosari Makmur (KT&G Group),Pasuruan,"Rp5,128,554"
Leader Produksi/Management Trainee(Mandarin Speaker),PT Lesso New Energy,Sayung,"Rp11,398,125"
Regional Agency Development (Medan),MSIG Life Insurance Indonesia Tbk,Medan,"Rp5,143,815"
MARKETING MANAGER,PT Hoco Asia Industry,Cengkareng,"Rp11,334,653"
Accounting & Tax Specialist,PT Arya Noble,Jakarta Selatan,"Rp10,666,572"
"Terapis ABA / ABA-VB, Terapis Okupasi, Terapis Wicara, Fisioterapis",CV SATRIA PERKASA,Jakarta Timur,"Rp6,287,584"
Host Live Streaming Marketplace,LICARR WATCH,Jakarta Utara,"Rp5,250,000"
Design Staff,PT Interpak Industries Batam,Batam,"Rp5,174,258"
ESTIMATOR / QUANTITY SURVEYOR INTERIOR,PT Kavana Karya Indonesia,Jakarta Barat,"Rp10,000,000"
Property Executive,PT Jones Lang LaSalle,Jakarta Raya,"Rp7,714,790"
Team Leader SPG & Event,CV INDITEC ROYAL OPTIMA ASIA,Cengkareng,"Rp4,000,000"
Finance & Accounting,PT Samudera Caraka Jasa,Jakarta Selatan,"Rp5,584,749"
Mid-Level Mining Enviro-Socio Consultant,PT TURA CONSULTING INDONESIA,Jakarta Timur,"Rp5,681,332"
SITE ENGINEER,PT Dowa Eco System Indonesia,Lamongan,"Rp7,009,034"
TAX ADMIN,PT. MILKUP INDONESIA GROUP,Badung,"Rp5,250,000"
Personal Assistant,PT. NUTRISI SEMPURNA INDONESIA (Perfect Nutrition),Jakarta Utara,"Rp5,000,000"
Chief Admin & Finance Area Kotabangun,PT Bussan Auto Finance (BAF),Kota Bangun,"Rp4,139,061"
Field Assistant,PT. REA KALTIM PLANTATIONS,Kembang Janggut,"Rp6,024,320"
Marketing Staff (Cikupa Area),PT Hiba Utama,Cikupa,"Rp6,140,217"
Admin Processing Internship Branch Bintaro,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,"Rp4,265,751"
Boilermaker,Ready Resources Pty Ltd,Balikpapan,"Rp4,771,787"
Research and Development Manager,Pengiklan Anonim,Bogor,"Rp17,500,000"
IT Application Developer (JS - IT APP DEV),OTO Group,Jakarta Selatan,"Rp9,000,905"
Store Manager,PT Hero Retail Nusantara,Jakarta Raya,"Rp6,908,015"
IT Developer (ASP.NET),PT Karisma Zona Kreatifku,Semarang Barat,"Rp7,750,000"
Human Resources Officer,Artha Inti Mentari,Tangerang,"Rp6,000,000"
Marketing Officer (Palembang),PT Dipo Star Finance,Palembang,"Rp4,750,000"
Admin AR/AP/E-Commerce,PT. CITRA PUTRA TATAPRATAMA,Jakarta Barat,"Rp3,500,000"
Finance & Accounting Department Head,Pengiklan Anonim,Jakarta Selatan,"Rp7,058,982"
Business Assistant,PT Saka Agung Abadi,Bali,"Rp5,513,947"
Telemarketing Staff,PT Sukses Printnusa Indonesia,Surabaya,"Rp3,125,000"
Telemarketing Staff,PT Sukses Printnusa Indonesia,Surabaya,"Rp3,488,384"
ADMIN ACCOUNTANT,ThermaPack,Jakarta Utara,"Rp3,125,000"
Operations Strategist Manager,GRATYO Global Awards Winning Business Coaching Company,Jakarta Utara,"Rp21,000,000"
Purchasing Staff,Mr. Smash Burger,Bali,"Rp3,750,000"
Karyawan Potong Ikan Tuna,PT. Hatindo Makmur,Denpasar,"Rp3,400,000"
Assistant production manager,Alfie's Mission Pty Ltd,Bali,"Rp7,500,000"
Accounting and Finance Staff,PT Trans Pacific Metal,Tangerang Selatan,"Rp5,000,000"
Formulator,Umah Living Bali,Bali,"Rp8,914,712"
Staff Calibrator,PT. Hasil Abadi Perdana,Surabaya,"Rp4,495,040"
Qualification & Calibration Staff,PT. Mitra Insan Sejahtera,Kecamatan Tangerang,"Rp6,750,000"
ACCOUNTING (PENEMPATAN SURABAYA),PT Binex Logistic,Surabaya,"Rp4,886,618"
Promotor (Wilayah Makassar),PT. Datascrip,Makassar,"Rp4,090,551"
Corporate Account Manager (Jawa Barat),PT Cyberindo Aditama (CBN),Bandung,"Rp17,214,532"
Support Live Streaming,PT Hua Hai Tong Live Streaming,Kelapa Gading,"Rp4,500,000"
Public Relations Manager,PT Good Sale Tech,Jakarta Selatan,"Rp12,008,373"
Staff Finance & Tax,PT Saraswanti Indo Genetech,Bogor,"Rp5,207,163"
Research and Development Assistant Manager,PT Aneka Tuna Indonesia,Pasuruan,"Rp11,929,985"
Faculty Member - Computer Science (BINUS @Medan),Yayasan Bina Nusantara,Medan,"Rp7,242,905"
Legal Senior Specialist,PT Chailease Finance Indonesia,Jakarta Pusat,"Rp7,766,533"
Field Collection Team Leader - PEKANBARU,PT Kredivo Finance Indonesia,Pekanbaru,"Rp5,124,044"
MC/Co-Host,PT. Ofei Beauty Clinic,Tangerang,"Rp4,990,068"
HRGA Manager - Manufacturing - Karawang - (ID: 499349),PT. PERSOLKELLY Recruitment Indonesia,Karawang,"Rp16,114,887"
Finance - Treasury Staff,Orico Balimor Finance,Jakarta Pusat,"Rp5,464,342"
BULKING INSTALLATION AND JETTY EXECUTIVE/ ASSISTANT,PT. KLK AGRISERVINDO,Bangka Belitung,"Rp6,997,812"
Financial Accounting,CV Karya Hijau Indonesia,Denpasar,"Rp4,500,000"
Sales Alat Kesehatan,PT Abadi Perkasa Bersama Alkesindo,Surabaya,"Rp5,204,934"
Kepala Penjualan (Pekanbaru),Pengiklan Anonim,Pekanbaru,"Rp8,532,065"
PRODUCTION SUPERVISOR,PT. Agrabudi Jasa Bersama,Aceh Barat,"Rp5,805,619"
Assistant Central Kitchen & Fresh Distribution Center Head,FamilyMart Indonesia,Tangerang,"Rp4,970,694"
Operator Boiler,PT Selago Makmur Plantation,Ciwandan,"Rp5,314,043"
Accounting Tax Supervisor,KEMINDO CAO RESOURCES,Medan,"Rp6,250,000"
Business Representative Area : Jawa Tengah,PT Setia Anugrah Medika,Semarang,"Rp4,617,253"
Key Account Management (warehouse & Transport),PT Senopati Fujitrans Logistic Services,Jakarta Utara,"Rp3,600,000"
Key Account Management (warehouse & Transport),PT Senopati Fujitrans Logistic Services,Jakarta Utara,"Rp4,247,319"
Regional Manager,PT Alibarbar Industrial Indo,Jakarta Raya,"Rp10,788,205"
Admin Finance & Accounting,Jillbert Kreasindo Kurnia,Jakarta Utara,"Rp3,600,000"
Account Executive AUTO2000 Surabaya,PT Astra International - Toyota Sales Operation (Auto2000),Surabaya,"Rp5,627,362"
Management Trainee Marketing - Area Bogor,"PT. BFI FINANCE INDONESIA, Tbk",Bogor,"Rp5,493,529"
Physician Relation Executive (Jakarta),Siloam Hospitals Group (Tbk),Jakarta Barat,"Rp5,842,697"
R&D Manager,PT. BUWON INDONESIA,Cikarang Pusat,"Rp12,562,564"
Technical Sales Staff (Food Ingredients Product),PT DAESANG INGREDIENTS INDONESIA,Jakarta Timur,"Rp5,812,001"
GA & Admin Purchasing - Bali,KEMAS SURYA TEKNOVASI,Denpasar Utara,"Rp3,250,000"
Assistant Mechanical Engineering (Central Workshop),PT Agro Harapan Lestari,Kotawaringin Timur,"Rp5,103,152"
ARCHITECT,PT Bhumi Cipta Suwarna (Suwarna Yasa Land),Bandung,"Rp8,045,751"
OPERATIONAL SUPERVISOR â€“ FORWARDING LOGISTICS,PT Ezocean Logistics Indonesia,Jakarta Selatan,"Rp8,500,000"
Customer Service,Kawan Lama Group,Kecamatan Tangerang,"Rp4,643,330"
English Primary,Prime One School,Sumatera Utara,"Rp5,691,472"
Sales Canvasser (Lampung),Pengiklan Anonim,Bandar Lampung,"Rp3,325,000"
Terapis Senior Anak Berkebutuhan Khusus (ABK),PENGHARAPAN DALAM KASIH,Tangerang,"Rp6,500,000"
Villa Manager,Katamata Group,Bali,"Rp10,036,892"
Sales Exclusive,PT. Katalisator Asa Indonesia (Manuva),Jakarta Selatan,"Rp5,200,000"
Tourism Planning Department Head - Tourism Development Center,Agung Sedayu Group,Jakarta Utara,"Rp8,742,296"
.Net Engineer,PT Nextalent Talenta Nusantara,Surabaya,"Rp11,750,000"
Site manager,THE INTO STUDIO,Ubud,"Rp8,500,000"
"KOL, COMMUNITY & AFFILIATE PARTNERSHIP SPECIALIS",Job Expert Placement (Thailand) Company Limited,Jakarta Raya,"Rp6,500,000"
Account Officer,"PT. Trimegah Sekuritas Indonesia, Tbk",Jakarta Selatan,"Rp6,486,892"
Supply Chain Manager,PT Jiangsu Hengli Hydraulic Indonesia,Cikarang Selatan,"Rp17,500,000"
HSE OFFICER TRANSPORT,PT ZETKA INC GROUP,Jakarta Selatan,"Rp6,127,817"
Operation Director,PT. Tasma Bioenergy Indonesia,Surabaya,"Rp6,876,266"
Marketing Communication Manager,PT Comextra Majora,Makassar,"Rp11,310,638"
Finance Tax Staff,PT Tempindo Jasatama (Divisi Jakarta Temp),Tangerang,"Rp5,750,000"
Finance Manager,PT Pendanaan Teknologi Nusa,Tangerang,"Rp14,222,316"
HR GA Assistant Manager,PT Yuasa Industrial Battery Indonesia,Jakarta Pusat,"Rp9,500,000"
IT PROGRAMMER STAFF,PT Indomobil Finance Indonesia,Jakarta Raya,"Rp7,033,994"
Administrasi,Kawan Lama Group,Kecamatan Tangerang,"Rp10,000,000"
Administrasi,Kawan Lama Group,Kecamatan Tangerang,"Rp7,872,178"
Social Media Strategist,PT Abdael Nusa,Surabaya,"Rp5,309,002"
koordinator lapangan,PT Finfleet Teknologi Indonesia,Pacitan,"Rp4,738,676"
Relationship Manager Funding,PT Cicil Solusi Mitra Teknologi,Jakarta Selatan,"Rp10,000,000"
Teknisi HP,PT Zhi Sheng Indonesia,Jakarta Raya,"Rp5,800,507"
Online Marketing,Prima Kita Group,Surabaya,"Rp4,462,960"
Customer Service - Branch Bekasi 5 (Jatisampurna),"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,"Rp5,743,923"
Staff Teknik Konstruksi,PT Citra Persada Infrastruktur,Kemayoran,"Rp5,450,000"
Finance Accounting Staff,PT Herindo Adikarya Jaya,Jakarta Utara,"Rp6,000,000"
General Manager Estate,PT Union Sampoerna Triputra Persada,Kalimantan Tengah,"Rp12,120,681"
Investor Relation Department Head,"PT Bank JTrust Indonesia, Tbk",Jakarta Pusat,"Rp7,527,657"
ERF Masterdata Admin,Pengiklan Anonim,Jakarta Raya,"Rp5,097,360"
Administrasi Keuangan,PT Tritunggal Kreasi Persada,Jakarta Timur,"Rp3,000,000"
Workshop Head (Kepala Bengkel),PT Hiba Utama,Cilegon,"Rp7,148,675"
IMPORT AND SOURCING COORDINATOR,PT Saniharto Enggalhardjo Semarang,Sayung,"Rp6,066,768"
POS Processing Staff Penempatan Cirebon,"PT. BFI FINANCE INDONESIA, Tbk",Cirebon,"Rp4,232,228"
Commercial Finance (Pricing Lead),Kerry Malaysia,Jakarta Raya,"Rp9,187,167"
Graphic Design,PT LINKIT,Mengwi,"Rp5,000,000"
Magang Lead Generator,PT Sukses Printnusa Indonesia,Surabaya,"Rp6,050,413"
SUPERVISOR WORKSHOP CENTRAL,Pengiklan Anonim,Kota Jambi,"Rp7,787,390"
Internal Control Officer - Sulawesi Tenggara,PT Bina Artha Ventura,Sulawesi Tenggara,"Rp4,625,192"
KEPALA ACCOUNTING,PT Farika Riau Perkasa,Pekanbaru,"Rp7,500,000"
Marketing,PT Venturindo Jaya Batam,Batam,"Rp5,950,000"
Construction Planner,PT Starway Engineering Indonesia,Papua Barat,"Rp8,742,511"
Accounting Manager,PT Wira Sakti Surya Persada,Jakarta Pusat,"Rp12,446,389"
ACCOUNT OFFICER,PT Asuransi Jiwa Syariah Al Amin,Palu,"Rp3,750,000"
KOKI SEAFOOD,PT Redjeki Makmur Sentosa,Surabaya,"Rp5,250,000"
Marketing Communication Executive,PT Billstone Luxury Indonesia,Jakarta Raya,"Rp7,606,041"
SUPERVISOR RESEARCH & DEVELOPMENT DECORATIVE & SKINCARE,PT Fabindo Sejahtera,Cikupa,"Rp7,664,062"
Sales Outdoor,PT Sarana Trimitra Solusindo,Tangerang,"Rp4,424,746"
Sales Executive (Industrial Estate),PT Modernland Realty Tbk,Banten,"Rp6,750,000"
Sr. PPJK Staff,PT Cakraindo Mitra Internasional,Bekasi Utara,"Rp5,558,854"
Early Years Teacher,PT PROEDUCATION INDONESIA,Kuta Utara,"Rp5,500,000"
Early Years Teacher,PT PROEDUCATION INDONESIA,Kuta Utara,"Rp5,500,000"
Events Coordinator,Jape Group Australia,Bali,"Rp6,246,918"
Telesales/Telemarketing Executive,PT HUTOMO GLOBAL INOVASI,Bekasi Selatan,"Rp3,750,000"
Marketing Manager,Pengiklan Anonim,Jakarta Timur,"Rp12,359,961"
Content Creator,Sapa Group,Jakarta Timur,"Rp5,540,788"
Sales & Marketing Agro SPV - Tegal,PT Agri Pintar Asia,Jawa Tengah,"Rp5,461,165"
Expansion Staff,PT. Paint Professionale Indonesia,Bekasi,"Rp5,372,695"
QA Manager,PT. Ennovi Polymer Engineering Services Batam,Batam Kota,"Rp14,809,118"
Human Capital International Staff,PT Santos Jaya Abadi,Jakarta Raya,"Rp7,098,402"
Nurse for School Clinic (Perawat untuk Klinik Sekolah),BTB School Pluit,Jakarta Utara,"Rp6,634,653"
Marketing Ecommerce Specialist,PT. YISHAN TEKNOLOGI INDONESIA,Tangerang,"Rp7,000,000"
Digital Marketing,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp5,084,960"
Business Development Training Supervisor,PT Infoarta Pratama,Jakarta Selatan,"Rp7,918,276"
Junior Manajer Tim Administrasi (pengalaman 3â€“5 tahun),PT Rocket Ventures Indonesia,Bali,"Rp5,325,000"
Senior Product Steward,3M,Jakarta Raya,"Rp8,694,685"
Admin Sales Online Shop,PT Bogamas Maju Indonesia,Jakarta Barat,"Rp3,750,000"
Senior Corporate Lawyer - Law Firm (C-119708),RGF HR Agent Indonesia,Jakarta Raya,"Rp25,000,000"
Marketing Food Ingredient Staff,PT Anta Tirta Kirana,Jakarta Barat,"Rp7,500,000"
Customer Service EXIM - Freight Forwarding,PT Dexter Eurekatama (Dexter Cargo),Jakarta Pusat,"Rp6,238,033"
Performance Marketing,PT Supertone (SPC),Jakarta Barat,"Rp8,350,000"
City Operations - ShopeeFood (Purwokerto),Shopee Internasional Indonesia,Purwokerto,"Rp4,530,792"
Personal Assistant,TurnkeyID,Surabaya,"Rp7,500,000"
Infrastruktur Cost Control,PT Tata Hamparan Eka Persada,Bangka,"Rp5,542,998"
Sales Executive - Cement (Karawang),SCG,Karawang,"Rp5,015,792"
Merchandising Supervisor (Buyer Fashion/Beauty),PT STAR MAJU SENTOSA,Jakarta Timur,"Rp7,705,199"
Logistics Assistant (Contract Position),PT Bredero Shaw Indonesia,Batam,"Rp6,882,837"
Staff PPIC,PT Daya Sakti Perkasa,Bekasi,"Rp6,156,330"
Migration Admin,education ONE,Denpasar,"Rp3,150,000"
Technical Sales Representative,PT Agrinusa Jaya Santosa,Banyuwangi,"Rp5,310,461"
Business Development Manager,PT Livzon Pharma Indonesia,Cikarang Pusat,"Rp19,239,100"
Business Development Acquisition Staff,PT Indodana Multi Finance,Banjarmasin,"Rp4,984,765"
"Driver Acquisition Project & KYC - Operations, ShopeeFood (Yogyakarta)",Shopee Internasional Indonesia,DI Yogyakarta,"Rp3,968,447"
KOL Affiliate Specialist,Oelek,Cipondoh,"Rp8,500,000"
KOL Affiliate Specialist,Oelek,Cipondoh,"Rp8,500,000"
BRANCH SUPERVISOR AREA,PT Captain Asia Sukses (Jakarta),Jakarta Raya,"Rp6,500,000"
MARKETING,PT Teknologi Warna matahari merah,Cikarang,"Rp5,217,774"
Project Manager ( Data Center ),PT DIAN GRAHA ELEKTRIKA,Jakarta Raya,"Rp12,067,082"
TEKNISI,PT Rotaryana Engineering,Jakarta Raya,"Rp5,877,788"
Purchasing Lokal Staff,PT. LEONG HUP JAYAINDO,Jakarta Selatan,"Rp4,937,540"
School Principal,Stella Gracia School,Jakarta Raya,"Rp6,040,316"
Content Creator,PT Moell Indonesia Sukses,Surabaya,"Rp5,500,000"
Tax and Accounting,PT Kaiquan Pump Group Indonesia,Jakarta Selatan,"Rp5,739,390"
Personal Assistent Direktur,Pengiklan Anonim,Batam,"Rp12,500,000"
Admin Staff (Cabang Sorong),PT. JAYA BERSAMA SAPUTRA PERKASA,Sorong,"Rp3,500,000"
STAFF FINANCE & ACCOUNTING,PT PRATAMA INDONESIA LESTARI,Jakarta Raya,"Rp5,000,000"
Book-Keeper,Pengiklan Anonim,Batam,"Rp5,500,000"
Collection Manager (Tangerang),PT CIMB Niaga Auto Finance,Tangerang Selatan,"Rp10,475,795"
CORPORATE SALES (FREELANCE),PT Buccheri Indonesia,Jakarta Barat,"Rp4,975,000"
Beauty Advisor (Social Market Palembang),EUROMEDICA GROUP,Palembang,"Rp5,272,512"
Quantity Surveyor (QS) - BALI Project,PT Design Ace,Bali,"Rp6,479,340"
Accounting Staff,Yayasan Adikara Niat,Jakarta Barat,"Rp5,378,992"
Agency Trainee (Surabaya),MSIG Life Insurance Indonesia Tbk,Jawa Timur,"Rp5,143,680"
Dokter Umum,PT Cakra Mitra Sentosa,Morowali,"Rp18,000,000"
Manager Finance & Accounting,PT. GIRI MAS INDAH,Jakarta Barat,"Rp22,500,000"
Sales Manager (Food Flavourings),PT M & N Indonesia,Jakarta Barat,"Rp12,346,148"
ADMIN DOKUMEN MANDARIN,PT POWERCHINA INTELIGENSI DAN INTEGRITAS ENERGI TEKNOLOGI INDONESIA,Tarakan Utara,"Rp7,500,000"
Audit Officer,PT IndoTech Karya Mandiri,Cipondoh,"Rp7,690,719"
CUSTOMER ENGAGEMENT OFFICER (CEO),PT. DIGITAL SARANA INTIMEDIA,Jakarta Barat,"Rp8,812,160"
Supervisor Purchasing Import,Pengiklan Anonim,Surabaya,"Rp7,500,000"
Warehouseman,Kawan Lama Group,Sidoarjo,"Rp5,353,470"
Emergency Response Team,PT. HLI Green Power,Karawang,"Rp6,550,000"
Sales Executive,SENTI RISTORANTE,Bandung,"Rp5,000,000"
Assistant Manager Utility,PT Mutu Gading Tekstil (Surakarta),Jawa Tengah,"Rp9,365,381"
SALES PROJECT/RETAIL,PT. KHARISMA SENTRA NIAGA,Jakarta Raya,"Rp7,500,000"
Manager HR&GA,PT Indonesia Lida Food,Bandung,"Rp12,699,396"
SALES PROJECT/RETAIL,PT. KHARISMA SENTRA NIAGA,Jakarta Raya,"Rp7,500,000"
SALES PROJECT/RETAIL,PT. KHARISMA SENTRA NIAGA,Jakarta Raya,"Rp7,500,000"
Manager HR&GA,PT Indonesia Lida Food,Bandung,"Rp12,699,396"
PPIC,PT Tandi Surya Mas,Mojokerto,"Rp5,400,000"
(JV2505002) Claim Marine & Varia Controller - Jakarta,"PT Asuransi Bintang, Tbk",Jakarta Selatan,"Rp6,149,538"
Procurement Specialist,PT Oriental Yuhong Indonesia,Jakarta Raya,"Rp10,000,000"
Online Marketing & Strategy Specialist,PT Higienis Indonesia,Jakarta Pusat,"Rp8,500,000"
Sales Coordinator,PT Antarmitra Sembada,Pontianak,"Rp5,046,445"
Supervisor,PT Design Ace,Jakarta Raya,"Rp7,117,237"
Operational Compliance Officer,PT Sinar Mitra Sepadan Finance (ORIX Japan),Jakarta Selatan,"Rp7,117,119"
Physical Inventory Team,FamilyMart Indonesia,Jakarta Selatan,"Rp6,211,942"
TICKETING MANAGER (TOUR & TRAVEL),CV. Tirta Tour Indonesia,Banten,"Rp8,500,000"
Local Sales Marketing - Lampung,PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant),Bandar Lampung,"Rp4,497,525"
"Province Lead - SPX Express (Kota Jayapura, Papua",PT Nusantara Ekspres Kilat,Jayapura,"Rp6,455,974"
IT System Development Junior Executive (Assistant Manager),PT Tugu Reasuransi Indonesia,Jakarta Pusat,"Rp14,216,512"
"Data Center Operations Technician (Jakarta, 24/7 shift)",Rahi Systems Pte. Ltd.,Karawang,"Rp8,500,000"
Kepala Produksi Manufaktur Injection Molding,PT Angkasa Megah Plasindo,Tangerang,"Rp7,405,930"
Supervisor Accounting,PT. SATU BISNIS INDONESIA,Kabupaten Tangerang,"Rp6,250,000"
Market Research Development,PT Matahari Putra Makmur,Pasuruan,"Rp5,471,370"
Finance Settlement Manager,Pengiklan Anonim,Jakarta Utara,"Rp15,240,303"
HR Personalia Supervisor,Sari Rasa Group,Jakarta Pusat,"Rp6,604,897"
Project Manager - Film,PT KNS Indonesia,Jakarta Utara,"Rp12,500,000"
Sales Supervisor (UPS),PT YHI Indonesia,Jakarta Utara,"Rp7,500,000"
Warehouse Supervisor,PT Haier Sales Indonesia,Pontianak,"Rp5,431,715"
Accountant,"LYD Group (La Favela, La Plancha, La Laguna, La Brisa, Bokashi Bali, LYD Organic)",Kuta,"Rp6,620,521"
"SALES ELEKTRONIK (Pontianak, Balikpapan & Samarinda)",PT. INDOPINTAN ADI PERKASA,Kalimantan Barat,"Rp5,200,000"
Leader Maintenance Machine,PT Koza Presisi Indonesia,Tangerang,"Rp7,182,627"
Sales Retail Pekanbaru,PT Mowilex Indonesia,Pekanbaru,"Rp4,588,739"
Sales - Textile Chemicals,PT Cultiva Tunas Niaga,Bandung,"Rp4,556,343"
Admin Project & Tender - Electrical Industry,PT Berkat Sumber Rizki,Jakarta Utara,"Rp8,000,000"
Customs Brokerage (PPJK) Staff,PT Dgl Expedisi Indonesia,Jakarta Utara,"Rp6,414,317"
Horticulturist,PT Ruang Hijau,Jakarta Raya,"Rp5,100,000"
Accounting Supervisor,Pengiklan Anonim,Bekasi,"Rp10,000,000"
IT Senior System Analyst,PT Home Credit Indonesia,Jakarta Selatan,"Rp7,750,000"
IT Senior System Analyst,PT Home Credit Indonesia,Jakarta Selatan,"Rp7,305,219"
Project Manager,the grand interior BSD,Tangerang,"Rp7,750,000"
Accounting & Finance,CV. Sinergi Auto Prima,Kemayoran,"Rp4,750,000"
TEKNISI,PT Module Intracs Yasatama,Aceh Besar,"Rp5,152,513"
Sales Excellence Manager (Pharmaceutical),PT. Kalbe Farma Tbk. (International Division),Jakarta Timur,"Rp14,023,616"
Relationship Officer BCA Finance - Penempatan Madiun,PT BCA Finance,Kabupaten Madiun,"Rp4,994,392"
Sales dan Marketing,PT Waralaba Voss Indonesia,Jakarta Raya,"Rp6,750,000"
Admin Processing (Internship) - Area Bandung,"PT. BFI FINANCE INDONESIA, Tbk",Bandung,"Rp3,891,723"
Junior Producer,PT Gameloft Indonesia (Yogyakarta),Yogyakarta,"Rp3,056,729"
Marketing,PT. Sumber Arta Lumbung Sejahtera,Surabaya,"Rp8,500,000"
Pengawas Lapangan (Supervisor),PT Manthra Cipta Adhisaka,Jakarta Selatan,"Rp4,750,000"
Finance & Accounting Manager,PT Indonesia Applicad,Kelapa Gading,"Rp17,500,000"
Branch Manager Klinik Kecantikan Cibinong Bogor,PT JAC Konsultan Indonesia,Cibinong,"Rp6,500,000"
Network Operations Coordinator,Daewoong Bio Indonesia,Bali,"Rp5,460,189"
