Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Staff Sistem Produksi,Trackerindo Anugerah Sejahtera CV,Bandung,"Rp4,350,000"
Crew Mama Roz (Cold Press Juice),PT ADELPHI TRANSASIA INDONESIA,Jakarta Raya,"Rp3,500,000"
Crew Mama Roz (Cold Press Juice),PT ADELPHI TRANSASIA INDONESIA,Jakarta Raya,"Rp3,500,000"
Administrasi Operasional Staff,PT Mulia Jasa Indokor,Jakarta Selatan,"Rp5,396,761"
WAREHOUSE INBOUND & OUTBOUND (CHECKER),PT Satu Nusantara Abadi,Jakarta Raya,"Rp5,868,731"
ADMIN-HELPER GUDANG,PT Syaharani,Bandung,"Rp3,400,000"
Customer Care,PT Sepulsa Teknologi Indonesia (Jakarta),Jakarta Selatan,"Rp5,760,630"
Operator CNC Machining,PT KOEI TOOL INDONESIA,Cikarang,"Rp6,250,000"
Purchasing Buyer Officer,"PT SMART,Tbk",Jakarta Selatan,"Rp5,799,369"
Staf Procurement & Purchasing,YAYASAN ASTRA BINA ILMU (POLITEKNIK ASTRA),Cikarang Selatan,"Rp5,177,330"
ADMINISTRASI GUDANG - TANGERANG,PT Ekadharma International Tbk,Pasar Kemis,"Rp4,561,710"
Customer Service Representative,PT NATURAL HERBAL ESSENCE,Jakarta Barat,"Rp5,343,376"
Area Sales Manager (Sub. Distribution Timur),PT Pangan Lestari,Sidoarjo,"Rp14,029,577"
Administration Staff,PT Sejahtera Unggul Nusantara,Jakarta Barat,"Rp5,947,667"
ADMIN PARIWISATA,PT Surya Cipta Sempurna,Jakarta Barat,"Rp5,750,000"
Picker (Warehouse Karawang),PT Miniso Lifestyle Trading Indonesia (Miniso Indonesia),Karawang Timur,"Rp5,866,251"
CIMB Niaga Teller CIPTA - Jawa Timur,PT CIMB Niaga Tbk,Jawa Timur,"Rp4,273,446"
Staff Operator Produksi,PT. SINO ZONE INDUSTRY INDONESIA,Jakarta Utara,"Rp5,198,381"
Fresh Graduate Management Training Program,Deliveree (PT Angkut Teknologi Indonesia),Jakarta Selatan,"Rp5,000,000"
STAFF PACKING PACKER,PT Anugerah Cahaya Chandra,Bogor,"Rp3,750,000"
MANAGEMENT DEVELOPMENT PROGRAM,"PT Delta Giri Wacana, Tbk.",Jakarta Raya,"Rp7,216,515"
Mayora Management Trainee (MDP) OPERATION,PT Mayora Indah Tbk,Surabaya,"Rp5,531,367"
Team Leader - Store,PT Social Bella Indonesia,Jakarta Utara,"Rp5,405,721"
Logistik,PT Kideta Boga Multirasa,Jakarta Utara,"Rp5,600,000"
Customer Care Staff (Eka Hospital Group),EKA HOSPITAL,Tangerang Selatan,"Rp5,592,099"
Admin After Sales Service,PT. Gree Electric Appliances Indonesia,Jakarta Utara,"Rp4,516,621"
STAFF ADMIN SURABAYA,PT Dana Kharisma,Waru,"Rp4,761,319"
Store Crew,Asia Best Indonesia,Medan,"Rp3,992,737"
Engineer Staff,PT.SINOMA DEVELOPMENT INDONESIA,Jakarta Selatan,"Rp10,000,000"
QC Inspector,PT Saga Trade Murni,Bekasi Timur,"Rp5,700,000"
Junior Staff Corporate Planning,PT. BRI Multifinance Indonesia,Jakarta Selatan,"Rp6,177,204"
Operator Machine Produksi,PT Asahi Diamond Industrial Indonesia,Cikarang,"Rp5,750,000"
Checker,PT Synergy Cakra Buana,Semarang Utara,"Rp3,454,414"
STAFF GUDANG,PT Indo Ducting Primatama,Karawang Timur,"Rp5,139,346"
SPV Warehouse National,PT. Mustika Citra Rasa,Bekasi,"Rp7,000,000"
SPV Warehouse National,PT. Mustika Citra Rasa,Bekasi,"Rp7,000,000"
Legal Officer,PT. TEMAS TBK,Jakarta Raya,"Rp6,351,650"
Staff Junior HRGA,PT Mandjur Sehat Abadi,Jakarta Raya,"Rp8,850,110"
HR Generalist Staff,PT Hana Fashion Indonesia,Kalideres,"Rp7,000,000"
Customer Service ( Support MAPAL Australia),PT Mapal Indonesia,Tangerang Selatan,"Rp5,287,818"
KEPALA DIVISI PENJUALAN,Perumda Dharma Jaya,Jakarta Timur,"Rp20,500,000"
Production Supervisor (Cutting Coil),PT. INTISUMBER BAJASAKTI,Cikande,"Rp16,500,000"
Tele Marketing dan Customer Service,PT SUMBERTAMA JAYA TEKNIK - Tools Distributors,Cikarang,"Rp5,364,939"
Exclusive Beauty Advisor,PT Muda Berkarya Adv,Jakarta Selatan,"Rp7,035,000"
"Internship Program â€“ Creative, Marketing, and Data Division",PT ST Morita Industries (MORITA GROUP),Jakarta Timur,"Rp3,250,000"
PROCUREMENT PROJECT,PT Berkah Kawasan Manyar Sejahtera,Gresik,"Rp5,594,844"
WAREHOUSE SUPERVISOR (SPV),PT Yusen Logistics Solutions Indonesia,Bekasi,"Rp7,546,413"
STORE CREW,GREEN HABIT,Bali,"Rp4,425,000"
Primary Production Lamina Operator,Japan Tobacco International Indonesia,Purwosari,"Rp4,755,383"
HRGA Staff,L&Co Project | Home Furnishing & Decorating,Jakarta Timur,"Rp6,250,000"
Staf HRD,PT Empat Putera Bersaudara Internasional,Jakarta Timur,"Rp5,500,000"
Sales Supervisor ( HORECA ),PT Oasis Waters International,Jakarta Pusat,"Rp6,693,467"
CNC Mechanical Engineering,PT Murata Machinery Indonesia,Cikarang Pusat,"Rp6,810,810"
Procurement Officer (Contract),PT Ecolab International Indonesia,Jakarta Selatan,"Rp7,032,885"
Sales Admin/Coordinator,PT. Newark Engineering Indonesia,Jakarta Raya,"Rp8,500,000"
HR Officer,"PT. Zyrexindo Mandiri Buana, Tbk",Jakarta Barat,"Rp6,069,531"
QUALITY ASSURANCE (QA) STAFF,PT Epson Batam,Batam,"Rp4,904,769"
"Management Trainee Sales Logistic (Penempatan Sidoarjo, Semarang, Cikarang)",PT Rapi Trans Logistik Indonesia,Sidoarjo,"Rp5,530,064"
Tattoo Shop Receptionist,Pengiklan Anonim,Bali,"Rp12,500,000"
Admin Project (Interior Contractor),VIVERE GROUP,Jakarta Raya,"Rp7,460,179"
SUPIR DIREKTUR,PT Bangkit Perkasa Sukses,Jakarta Barat,"Rp4,750,000"
HRGA Supervisor,PT Santosa Agrindo (Japfa Beef Division),Serang,"Rp10,000,000"
Customer Service Head,PT. Sardana IndahBerlian Motor,Medan,"Rp6,501,987"
EXPORT STAFF,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,Jakarta Selatan,"Rp5,672,724"
HC Operational Department Head,CIPUTRA GROUP,Jakarta Raya,"Rp6,747,657"
Purchasing,PT I Like Gym Indonesia,Jakarta Barat,"Rp5,431,147"
TELEMARKETING/CUSTOMER RELATIONS,PT Aksel Kreasi Utama,Cikarang Pusat,"Rp5,000,000"
Junior Buyer (Dry Products / FMCG),PT Kreasi Nostra Mandiri,Jakarta Selatan,"Rp4,850,000"
Junior Buyer (Dry Products / FMCG),PT Kreasi Nostra Mandiri,Jakarta Selatan,"Rp5,243,877"
Finance AR,PT Vektordaya Mekatrika,Jakarta Raya,"Rp6,807,113"
Administrasi Purchasing,KPPA ASIADESC,Surabaya,"Rp4,850,000"
Merchandiser,UD A & W,Jakarta Timur,"Rp6,500,000"
HC People Development,CIPUTRA GROUP,Jakarta Raya,"Rp6,712,803"
Concierge,PT Plaza Nusantara Realti,Jakarta Pusat,"Rp6,007,876"
Customer Service Representative,PT. Putra Perkasa,Surabaya,"Rp4,798,806"
Staf Account Payable,PT Dwi Tunggal Surya Jaya,Jakarta Pusat,"Rp5,772,160"
Barista,Port n Brew,Kelapa Gading,"Rp3,750,000"
Legal Officer,PT Asuransi FPG Indonesia,Jakarta Selatan,"Rp6,635,098"
Secretary,PT Technet Vision Indonesia,Jakarta Timur,"Rp6,000,000"
Sales Assistant,PT Epsea Machinery Equipment Indonesia,Surabaya,"Rp9,000,000"
Admin,PT LAMITECH INDONESIA,Jonggol,"Rp3,750,000"
BANKING ACADEMY FOR SERVICE ADVISOR (JABODETABEK),PT Bank OCBC NISP Tbk,Jakarta Raya,"Rp5,384,709"
Admin Penjualan,InterScent Excelindo,Surabaya,"Rp4,216,833"
Finance & Accounting,PT Asuransi FPG Indonesia,Jakarta Selatan,"Rp5,584,749"
COLLECTION,PT Surya Bumimegah Sejahtera (Surabaya),Surabaya,"Rp4,750,000"
SENIOR SALES MANAGER,PT Kahar Duta Sarana,Jakarta Raya,"Rp27,500,000"
Procurement Inventory Head,"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,"Rp6,347,957"
Accounting Staff,PT INDOLIFE PENSIONTAMA,Jakarta Raya,"Rp6,512,800"
ADMIN CUSTOMS & TRUCKING,PT Binex Logistic,Jakarta Utara,"Rp4,522,461"
STOCK & INVENTORY CONTROLL,CV Karya Utama,Bali,"Rp4,250,000"
Sales Assistant Manager (Oli & Cat Industri),PT. INTISUMBER BAJASAKTI,Penjaringan,"Rp17,500,000"
SPV SALES & MARKETING,CV. GLOBAL PET INDONESIA,Tangerang,"Rp8,350,000"
Quality Control,Siam Karat International Indonesia,Tangerang,"Rp4,898,861"
HR & GA Manager,PT Sobat Sejati Sukses,Jakarta Raya,"Rp12,500,000"
Project Estimator,House of Panda,Jakarta Raya,"Rp15,000,000"
Product Marketing for Digital Imaging,PT Sony Indonesia,Jakarta Raya,"Rp6,562,572"
SPV HRGA,CV. GLOBAL PET INDONESIA,Tangerang,"Rp8,350,000"
Junior Area Manager Restaurant,Sari Rasa Group,Jakarta Raya,"Rp9,294,455"
Hotel and Restaurant in Pantai Carita,Pengiklan Anonim,Carita,"Rp5,000,000"
